CustomerGuid,Customer Company Name,Charge Start Date,Charge End Date,OrderId,Order Date,ProductId,Product Name,SkuId,SkuName,SubscriptionId,Subscription Description,MpnId,Consumed Quantity,Unit,Unit Price,Pre Tax Amount,Currency,TermAndBillingCycle,MeterDescription,ReservationOrderId,SubscriptionStartDate,SubscriptionEndDate,PublisherId,PublisherName,Category
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May  1 2025 12:00AM,May 31 2025 12:00AM,PoDAXn3AOJKll0SM1HFFRYLdSb0WHGp41,Jun  3 2025,DZH318Z0BNZJ,Blob Storage,00HJ,Blob Storage - Hot LRS - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,4.2025,10K,0.36563459,1.00000001,INR,10K All Other Operations,Tiered Block Blob - 10K All Other Operations - DE West Central,8f593247615ba92d34983e1cbe5191f7cbf2eeb192cf58668f465a1579597626,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May 23 2025 12:00AM,Jun 22 2025 12:00AM,MHrfp-KSFOXfk-Q6wtm_QLzXIzQbIGIM1,May 23 2025,DZH318Z09LQP,Virtual Machines Ebdsv5 Series,01DV,Reserved VM Instance- Standard_E4bds_v5- IN Central- 3 Years,9894e9b2-72e4-4f8b-c3b2-75339b51e7e8,/providers/Microsoft.Capacity/reservationOrders/6b6ce0e3-8371-462b-bc6d-de19d27b5b63,3901615,1,1 Hour,8738.270285,8738.26416,INR,3 Years Reservation,,6b6ce0e3-8371-462b-bc6d-de19d27b5b63,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May  1 2025 12:00AM,May 31 2025 12:00AM,hdnhPifvmXoqJwU3X1PwQqRonQMzL4Va1,Jun  3 2025,DZH318Z0BNVX,Rtn Preference: MGN,000C,Rtn Preference: MGN - AU East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,6218.79,1 GB,10.203756,63454.35358,INR,Data Transfer Out (GB),Rtn Preference: MGN - Standard GB Data Transfer Out - AU East,1ab77556566438945090fea624c401c34ea08daf98381b0962e9f5bb60b56d72,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May  1 2025 12:00AM,May 31 2025 12:00AM,I6KcLSSQ9Wg-CZXOzrI2RZ6m67WCHCOE1,Jun  3 2025,DZH318Z0C120,General Block Blob v2 Hierarchical Namespace,006R,General Block Blob v2 Hierarchical Namespace - Cool LRS - EU West,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,9.971,10K,1.1054069,11.00000011,INR,10K Read Operations,General Block Blob v2 Hierarchical Namespace - Cool - 10K Read Operations - EU West,ea002c1c1dd8afbaaf74921ee442e534d7e9129bd423d649bb68327cf09b3b10,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May  1 2025 12:00AM,May 31 2025 12:00AM,I6KcLSSQ9Wg-CZXOzrI2RZ6m67WCHCOE1,Jun  3 2025,DZH318Z0C120,General Block Blob v2 Hierarchical Namespace,57,General Block Blob v2 Hierarchical Namespace - Cool LRS - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,34.667,1 GB/Month,1.2754695,44.01176515,INR,Data Stored (GB/Month),General Block Blob v2 Hierarchical Namespace - Cool LRS - Data Stored (GB/Month) - US East,56aa443f69f4e50c377be12cd0444dbd577bab61e96c10d05ef9bacdd58fb851,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May  1 2025 12:00AM,May 31 2025 12:00AM,7DBXJtcUqenR6hTlUWs8T7YfGCA3WsHP1,Jun  3 2025,DZH318Z0BNXQ,Global Virtual Network Peering,5,Global Virtual Network Peering - AU East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,5308.16,1 GB,7.652817,40621.88276,INR,Egress (GB),Global Virtual Network Peering - Inter-Region GB Egress - Zone 2,5894575edbc125c8e881425f3c477c94c5ed37fcce2db726a3b1238f580faf34,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May  1 2025 12:00AM,May 31 2025 12:00AM,Nhsn9QpabYR5unphtM5FQok_rPJAgXg41,Jun  3 2025,DZH318Z0BP0L,Standard HDD Managed Disks,01GZ,Standard HDD Managed Disks - Snapshots LRS - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,3832.16,1 GB/Month,4.251565,16292.00016,INR,Snapshots (GB/Month),Standard HDD Managed Disks - Snapshots - LRS - 1 GB/Month Snapshots - DE West Central,0ff90e9c05a4c5669f8f9def5fef36c51f9c9f1199450beffa652cf695189dc5,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May  1 2025 12:00AM,May 31 2025 12:00AM,jmS_LrxiqG8fM6FY0AfJSaRVfSHSqi-a1,Jun  3 2025,DZH318Z0BSD1,Application Gateway Standard v2,11,Application Gateway Standard v2 - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,103479,1/Hour,0.6802504,70390.82423,INR,Capacity Units/Hour,Application Gateway Standard v2 - Capacity Units/Hour - IN Central,806c0239528f6e282a17620dfefff48d6e533da14a885626cb7f1df87c270bfb,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May  1 2025 12:00AM,May 31 2025 12:00AM,PoDAXn3AOJKll0SM1HFFRYLdSb0WHGp41,Jun  3 2025,DZH318Z0BZ26,Storage - Bandwidth,003N,Storage - Bandwidth - Geo-Replication v2 - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,80.5735,1 GB,1.700626,136.0470602,INR,Data Transfer (GB),Storage - Bandwidth - Geo-Replication v2 GB Data Transfer - DE West Central,9ed26e178e2efdcfbe3f689a33adbe0da1b27d0944c3cb81531a9757ea0d1d99,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,May 23 2025 12:00AM,Jun 22 2025 12:00AM,ZW9CM7TWyxI5wsUpwPMSTK8iOU-KBpP51,May 23 2025,DZH318Z0CM2C,Virtual Machines Dasv4 Series,00PW,Reserved VM Instance- Standard_D4as_v4- IN Central- 3 Years,c7c039be-697b-4066-c925-d02ca38e2bf3,/providers/Microsoft.Capacity/reservationOrders/6e399631-13c8-4717-abbc-13c9ef18922d,3901615,1,1 Hour,3060.139927,3060.129246,INR,3 Years Reservation,,6e399631-13c8-4717-abbc-13c9ef18922d,,,,Microsoft,Reserved Instance
