CustomerGuid,Customer Company Name,Charge Start Date,Charge End Date,OrderId,Order Date,ProductId,Product Name ,SkuId,SkuName,SubscriptionId,Subscription Description,MpnId,Consumed Quantity,Unit,Unit Price,Pre Tax Amount,Currency,TermAndBillingCycle,MeterDescription,ReservationOrderId,SubscriptionStartDate,SubscriptionEndDate,PublisherId,PublisherName,Category
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan 17 2025 12:00AM,Feb 16 2025 12:00AM,dtk-Ys6pR28Jvcc9rNomT5pXZdRKpau61,Jan 17 2025,DZH318Z0BQ35,Virtual Machines BS Series,009F,Reserved VM Instance- Standard_B2ms- IN Central- 3 Years,e46eec39-bee0-4e00-de28-bf704bcca877,/providers/Microsoft.Capacity/reservationOrders/b86d0077-e09b-4348-9305-1f43ccd0266d,3901615,2,1 Hour,2162.7136155924,4325.428128,INR,3 Years Reservation,,b86d0077-e09b-4348-9305-1f43ccd0266d,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan  1 2025 12:00AM,Jan 31 2025 12:00AM,0fE3FmJrp19h4I6kdyTgQYI-J3vyIJFi1,Feb  4 2025,DZH318Z0BNZ5,Tables,006G,Tables - LRS,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,0.064161,1 GB/Month,3.8492415,0,INR,Data Stored (GB/Month),Tables - LRS Data Stored (GB/Month),0a3391ad9c84206de56daaec6cd4715e72ee9016d2da871f9f6c6bc1d5c06740,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan  1 2025 12:00AM,Jan 31 2025 12:00AM,5_Ja9_JbcPe3ZlHITtfHRq5NtgTrAgqa1,Feb  4 2025,DZH318Z0BP0B,Files,004M,Files - LRS,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,1023870,10K,1.2830805,1313705.89549,INR,10K Write Operations,Files - LRS - 10K Write Operations,5f4036ce55466118446c599a9fc49e2c2db167db817958f503fdc478417cd74b,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan 23 2025 12:00AM,Feb 22 2025 12:00AM,Qev6segHN4Y_gUYWpLRUQoudoeFVjde01,Jan 23 2025,DZH318Z0CM2C,Virtual Machines Dasv4 Series,006W,Reserved VM Instance- Standard_D4as_v4- US East- 3 Years,218e053a-3a39-47f1-d41c-8ece027788d8,/providers/Microsoft.Capacity/reservationOrders/52136547-13a2-44f7-bd89-a2aaf3f1a91a,3901615,1,1 Hour,4744.1040968178,4744.099778,INR,3 Years Reservation,,52136547-13a2-44f7-bd89-a2aaf3f1a91a,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan  1 2025 12:00AM,Jan 31 2025 12:00AM,mGdJ105VnctaCSK5q7BJTpbd9fhGuIpP1,Feb  4 2025,DZH318Z0BNZJ,Blob Storage,00HL,Blob Storage - Hot RA-GRS - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,145.28,1 GB/Month,4.1913963,608.8235355,INR,Data Stored (GB/Month),Tiered Block Blob - Hot RA-GRS - Data Stored (GB/Month) - DE West Central,cfc52c04f67c5d24d3d19ca100a91a4cc3a3017b5da1d85916cf7521ea81ef44,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan  1 2025 12:00AM,Jan 31 2025 12:00AM,yh6Jb-VI_96pRGgb4kzSTbaJI9G_km3h1,Feb  4 2025,DZH318Z0BZ26,Storage - Bandwidth,000D,Storage - Bandwidth - Geo-Replication v2 - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,30.5104,1 GB,1.710774,51.31764757,INR,Data Transfer (GB),Storage - Bandwidth - Geo-Replication v2 GB Data Transfer - US East,33ed059dc2ea009de5ce96a891db95b2bf6462ccfe123dc121b775f52b3536de,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan  1 2025 12:00AM,Jan 31 2025 12:00AM,_z_1yjiAckxt-979TrboRZ7BYEwciywr1,Feb  4 2025,DZH318Z0BNZJ,Blob Storage,0058,Blob Storage - Hot LRS - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,1.079,1 GB/Month,1.77920496,1.00000001,INR,Data Stored (GB/Month),Tiered Block Blob - Hot LRS - Data Stored (GB/Month) - US East,fbda330bbcd7499fd5b8c753378cb6226539a1f9882c55a1c7cc44e7daa7164b,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan  1 2025 12:00AM,Jan 31 2025 12:00AM,fXZjIrzkT5m0UwLH9-aoRrDsN_9xz8Ma1,Feb  4 2025,DZH318Z0BQG3,Event Grid,000L,Event Grid - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,1,1M,0,0,INR,1M MQTT Operations,Event Grid - Standard 1M MQTT Operations - US East,7b6d158bf96c2c1d0a47c3ada771590fd2e68b55a8fe5153fd8dcf3f1d10644c,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan  1 2025 12:00AM,Jan 31 2025 12:00AM,kYxe4sdOrQzGUY5TTVfMTYGf41h8emfN1,Feb  4 2025,DZH318Z0BQ4K,Virtual Machines Dv3 Series,01K9,Virtual Machines Dv3 Series - D8 v3 - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,4132.01,1 Hour,39.347802,162584.7075082,INR,1 Compute Hour,Virtual Machines Dv3/DSv3 Series - D8 v3/D8s v3 Hours - DE West Central,9bd6016dacb36a142b7baea7eeb0f45abad8d92c72a83a20688f1695b2d0cf84,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Jan  1 2025 12:00AM,Jan 31 2025 12:00AM,nZkiaiSG6kxK654tlOQZQ7AjUSDy3x8j1,Feb  4 2025,DZH318Z0B0NC,Azure Container Apps,000Z,Azure Container Apps - Standard - AE North,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,19087300,1 GiB Second,0.0002566161,4897.8471078,INR,Memory Active Usage GiB Second,Azure Container Apps - Standard Memory Active Usage 1 GiB Second - AE North,f2db320afd0938437faee697a1258cd4ca8bd8d4800102981e27c67e36040b08,,,,Microsoft,Azure Plan
