CustomerGuid,Customer Company Name,Charge Start Date,Charge End Date,OrderId,Order Date,ProductId,Product Name ,SkuId,SkuName,SubscriptionId,Subscription Description,MpnId,Consumed Quantity,Unit,Unit Price,Pre Tax Amount,Currency,TermAndBillingCycle,MeterDescription,ReservationOrderId,SubscriptionStartDate,SubscriptionEndDate,PublisherId,PublisherName,Category
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,mL76y87zCEhdE6OnieNeQ6jgixQnqlXd1,Jan  3 2025,DZH318Z0BNVX,Rtn Preference: MGN,005J,Rtn Preference: MGN,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,100,1 GB,0,0,INR,Data Transfer Out (GB),Rtn Preference: MGN - Standard GB Data Transfer Out,5520eec24abd5d73b6465c9e2419046c8087ef8efb9919467ed2c17c2d4d86d7,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,5jLDUGfNvd1AV5n1evvHSqUfwhUrmnES1,Jan  3 2025,DZH318Z0C120,General Block Blob v2 Hierarchical Namespace,004T,General Block Blob v2 Hierarchical Namespace - Hot LRS - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,6865.97,10K,5.4816905,37636.70625872,INR,10K Write Operations,General Block Blob v2 Hierarchical Namespace - Hot - 10K Write Operations - US East,2f4704a1666349d3f85511b74a26a829652a25355c5448a6af02431ef732f327,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  5 2024 12:00AM,Jan  4 2025 12:00AM,baBnXWcqd7JfMhq0UUvoTZIEHpbRW93y1,Dec  5 2024,DZH318Z0BQ50,Virtual Machines DSv3 Series,01LQ,Reserved VM Instance- Standard_D8s_v3- DE West Central- 3 Years,6c460ca3-9e5c-41ba-d3b0-af8ac7f5c515,/providers/Microsoft.Capacity/reservationOrders/d508107f-6cf7-4794-98dd-233473e2ce24,3901615,1,1 Hour,11176.9869613842,11177.0331,INR,3 Years Reservation,,d508107f-6cf7-4794-98dd-233473e2ce24,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,dpgEAE-eyfGlvTWnZUZuQ56dUWcXahnL1,Jan  3 2025,DZH318Z0BNZH,General Block Blob,006F,General Block Blob - LRS,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,0.037,10K,0.030360132,0,INR,10K List and Create Container Operations,General Block Blob - LRS - 10K List and Create Container Operations,11674a13f68b07bb0fd156dbe4315a44d19d40d6f6bf3ec3f204dae840b07c00,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,YfCS1dKf9HH54kapM2CVSKMEFuGFf1A91,Jan  4 2025,DZH318Z0BQFX,Microsoft Defender for Servers,0013,Microsoft Defender for Servers - Standard P2,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,82717,1/Hour,1.686674,139515.2955128,INR,1 Node/Hour,Microsoft Defender for Servers - Standard P2 Node/Hour,9573c657b8269f4bdf9d970f52836f8e994644bec9bb004fb313184d1923037d,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec 17 2024 12:00AM,Jan 16 2025 12:00AM,pMKfeMSMBZMI4lfBuCTBSbC7GiSSy2_h1,Dec 17 2024,DZH318Z0CM2C,Virtual Machines Dasv4 Series,00PW,Reserved VM Instance- Standard_D4as_v4- IN Central- 3 Years,ec4ed39f-bfaa-4a38-d34e-2857aa0e9189,/providers/Microsoft.Capacity/reservationOrders/24ce5d1d-1b0b-4ac7-88d4-93d71f88ee56,3901615,3,1 Hour,3035.0344230778,9105.105786,INR,3 Years Reservation,,24ce5d1d-1b0b-4ac7-88d4-93d71f88ee56,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,kIas7abN_ZrVseYOJ6SrT4enDHRqj8NW1,Jan  4 2025,DZH318Z0B0NC,Azure Container Apps,0001,Azure Container Apps - Standard - EU West,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,12232,1 GiB Second,0.0003373348,3.96470592,INR,Memory Idle Usage GiB Second,Azure Container Apps - Standard Memory Idle Usage 1 GiB Second - EU West,729f865e2b10745ade622403759cdde819e1c8d44ba5e09e9e42868d41d71dc8,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,Tga4yfzDEjhCzIcLtsY5RYcitO8tZLXb1,Jan  4 2025,DZH318Z0BNXL,VPN Gateway,00DH,VPN Gateway - Basic,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,8182.53,1 Hour,1.2650055,10350.22363291,INR,1 S2S Connection Hour,VPN Gateway - S2S Connection Hours,f6f52c1999e3c72441bb35af58ee6db980ea6375ee422792fda0f9a52f5e470b,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,_EUe3LrWfaJksncbIG8tQZ3GKjXRdoiT1,Jan  3 2025,DZH318Z0BJRM,Azure Data Lake Storage Gen2 Hierarchical Namespace,003V,Azure Data Lake Storage Gen2 Hierarchical Namespace - Hot LRS - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,44.1227,1 GB/Month,1.75414096,77.38823607,INR,Data Stored (GB/Month),Azure Data Lake Storage Gen2 Hierarchical Namespace - Hot LRS - Data Stored (GB/Month) - US East,5bd0b67fe05bf5e08cf4ca44e1c097af0f358dc4724970948d42b8861faa48e6,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,YfCS1dKf9HH54kapM2CVSKMEFuGFf1A91,Jan  4 2025,DZH318Z0CM2B,Virtual Machines Dav4 Series,00NM,Virtual Machines Dav4 Series - D16a v4 - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,127.025,1 Hour,41.5765141,5280.28240574,INR,1 Compute Hour,Virtual Machines Dav4/Dasv4 Series - D16a v4/D16as v4 Hours - IN Central,94c2eb0f679b25e86e302121f4d2b57bdf4f3128f8333d66f4396dfd57b19021,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec 21 2024 12:00AM,Jan 20 2025 12:00AM,uGh6I7NE31SXsL8NG4Z7Q7seishBsmqW1,Dec 21 2024,DZH318Z0BQ50,Virtual Machines DSv3 Series,01LQ,Reserved VM Instance- Standard_D8s_v3- DE West Central- 3 Years,8b47114c-08c8-4b7f-d765-50ff633b2c26,/providers/Microsoft.Capacity/reservationOrders/b37146b4-9b59-40d9-ad85-9240b99b290b,3901615,1,1 Hour,11176.9869613842,11177.0331,INR,3 Years Reservation,,b37146b4-9b59-40d9-ad85-9240b99b290b,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec  1 2024 12:00AM,Dec 31 2024 12:00AM,KvQZO00iJoQ6aynaNHL7SrhKSgNyT8d-1,Jan  4 2025,DZH318Z0BNX0,Azure DNS,0020,Azure DNS - Public,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,0.018854,1M,33.73348,0,INR,1M Queries,Azure DNS - Public 1M Queries,c80ca391ed1cf6712ce1e5200c26c630927a4a6a67bd104d04706390efe50f0a,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Dec 17 2024 12:00AM,Jan 16 2025 12:00AM,_SmoUZIGLM6TXgPoaU2eQaaFdSQU_VxK1,Dec 17 2024,DZH318Z0CM2D,Virtual Machines Easv4 Series,007C,Reserved VM Instance- Standard_E4as_v4- US East- 3 Years,bb9f44f9-6ea3-4367-de29-e7ab2f3c21bb,/providers/Microsoft.Capacity/reservationOrders/df362452-d2f7-42e9-b0a2-e4c0317107dd,3901615,1,1 Hour,6139.3091751992,6139.310552,INR,3 Years Reservation,,df362452-d2f7-42e9-b0a2-e4c0317107dd,,,,Microsoft,Reserved Instance
