CustomerGuid,Customer Company Name,Charge Start Date,Charge End Date,OrderId,Order Date,ProductId,Product Name ,SkuId,SkuName,SubscriptionId,Subscription Description,MpnId,Consumed Quantity,Unit,Unit Price,Pre Tax Amount,Currency,TermAndBillingCycle,MeterDescription,ReservationOrderId,SubscriptionStartDate,SubscriptionEndDate,PublisherId,PublisherName,Category
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,UzMpHV5zTY3RTwxh0lQQQoQQitU6FYST1,Mar  3 2025,DZH318Z0BP04,Premium SSD Managed Disks,00FF,Premium SSD Managed Disks - P20 - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,3.99974,1/Month,6337.242317182,25347.17672406,INR,1 Disk/Month,Premium SSD Managed Disks - P20 LRS/Month - US East,7a72940285f896ce9bda0988eaff4eae5f4d82725e4ef140a071288172520521,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,I9J6YvMRRdchaEyMOb5xSpRDYbv2SBz-1,Mar  3 2025,DZH318Z0BP04,Premium SSD Managed Disks,005J,Premium SSD Managed Disks - P4 - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,10.9993,1/Month,456.9449347612,5026.04710908,INR,1 Disk/Month,Premium SSD Managed Disks - P4 LRS/Month - US East,2993a7f7b661fa54b099e900f515351a83728b14d7eb779918b19b507d5876c6,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,Xl6xeUmXcPV_OCcwlNEVQrEZqamdNRaF1,Mar  3 2025,DZH318Z0DV7B,Azure Front Door,000N,Azure Front Door - Standard - Zone 6,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,0.0016,10K,0.7789563,0,INR,10K Requests,Azure Front Door - Standard 10K Requests - Zone 6,3f6605d0aa890182f53e144236408f76bf12252f1407900428cf295777d16bb5,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb 23 2025 12:00AM,Mar 22 2025 12:00AM,SX0KaM3SiRwL0kwg3NOYQ4pfxswVDu1-1,Feb 23 2025,DZH318Z09LQP,Virtual Machines Ebdsv5 Series,01DV,Reserved VM Instance- Standard_E4bds_v5- IN Central- 3 Years,9894e9b2-72e4-4f8b-c3b2-75339b51e7e8,/providers/Microsoft.Capacity/reservationOrders/6b6ce0e3-8371-462b-bc6d-de19d27b5b63,3901615,1,1 Hour,8894.4119396366,8894.396318,INR,3 Years Reservation,,6b6ce0e3-8371-462b-bc6d-de19d27b5b63,,,,Microsoft,Reserved Instance
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,gFVKA2AiLQBQyQmTB0_KQqZn0INuiV5o1,Mar  3 2025,DZH318Z0CM2B,Virtual Machines Dav4 Series,001R,Virtual Machines Dav4 Series - D64a v4 - US East,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,671.933,1 Hour,265.8837529965,178655.2959042,INR,1 Compute Hour,Virtual Machines Dav4/Dasv4 Series - D64a v4/D64as v4 Hours - US East,d021370b7dc85b4c296bf5a6c3bd4879d74765210c4e16fba1e51c6312d02727,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,03i54Z68Jg6O_cqRipwOTJLSBb9nEgmx1,Mar  3 2025,DZH318Z0BP0B,Files,004M,Files - LRS,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,1435050,10K,0.12982605,186305.884216,INR,10K Read Operations,Files - 10K Read Operations,d618f63b0e0fc1b8821145cba0398428791e7622496d050f54976530319ac0d0,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,qIK93kUwbDicwD36DIznSp6tWbSKwRN61,Mar  3 2025,DZH318Z0BP05,Backup,002W,Backup - Azure VM - IN Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,26.1613,1/Month,865.5070086551,22642.70610878,INR,1 Protected Instance/Month,Backup - Azure VM - Protected Instances/Month - IN Central,a883ef1512754758a329962e17c7286fe73fc275c765d7b42a2196fa3dc623cc,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,vSajLRoVnHyVNmURNQAQR5ldgb79S-R61,Mar  3 2025,DZH318Z0BJSN,Windows Server Burst,0003,Windows Server Burst - 4 vCPU VM,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,5113.65,1 Hour,1.3848112,7080.85889434,INR,1 License Hour,Windows Server Burst - 4 vCPU VM Hours License,dfe1c2d1d4eb9ba30c8eb37c0a283642386d23af21acad0e69888f5789ac8d77,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,FIk53p0GPDKLLbVWFngUS7WDZlOwM7YH1,Mar  3 2025,DZH318Z0BQ4K,Virtual Machines Dv3 Series,01K6,Virtual Machines Dv3 Series - D32 v3 - DE West Central,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,2518.46,1 Hour,159.253289731,401072.9451872,INR,1 Compute Hour,Virtual Machines Dv3/DSv3 Series - D32 v3/D32s v3 Hours - DE West Central,1e046160770ab758b1677ca84086c4bc82e1b60f4e26fa52529a4c97a63e1634,,,,Microsoft,Azure Plan
b6116f19-eef8-41ca-a9db-f6d2c38f049f,IBM INDIA PRIVATE LIMITED,Feb  1 2025 12:00AM,Feb 28 2025 12:00AM,FIk53p0GPDKLLbVWFngUS7WDZlOwM7YH1,Mar  3 2025,DZH318Z0BNZ5,Tables,006G,Tables - LRS,54219d91-f2aa-4ba4-ce5a-af4edd12e8c5,Azure plan,3901615,0.0003,10K,0.031158252,0,INR,10K Delete Operations,Tables - 10K Delete Operations,e01293c052415aba60b28c833968f81114257405052e370839f033590f0319ad,,,,Microsoft,Azure Plan
